Gene	count_L05_mRNA	count_L02_mRNA	count_L11_mRNA	count_L04_mRNA	count_L10_mRNA	count_L03_mRNA	count_L06_mRNA	count_L12_mRNA	count_L01_mRNA
PH02Gene41680	0	0	0	0	0	4	0	0	0
PH02Gene41681	0	0	0	0	0	0	0	0	0
PH02Gene41682	0	1	13	5	9	5	3	1	0
PH02Gene41683	0	0	0	0	0	0	0	0	0
PH02Gene41684	0	0	2	17	0	0	6	2	0
PH02Gene41685	8	0	4	1	0	0	6	1	0
PH02Gene41686	0	7	14	8	12	7	4	10	0
PH02Gene41687	1	0	5	0	6	5	1	2	1
PH02Gene41688	11	2	22	16	5	1	25	16	0
PH02Gene41689	2	0	2	0	2	0	4	1	0
PH02Gene41690	16	4	19	30	14	10	9	20	4
PH02Gene41691	16	14	32	22	12	8	26	18	4
PH02Gene41692	0	0	0	0	0	0	0	0	0
PH02Gene41693	5	0	18	0	5	6	5	22	4
PH02Gene41694	85	3	58	24	31	11	73	56	14
PH02Gene41695	54	122	50	21	47	44	47	37	47
PH02Gene41696	46	91	57	28	63	58	48	75	58
PH02Gene41697	92	2	58	60	84	0	106	97	63
PH02Gene41698	6	0	1	0	0	0	17	1	0
PH02Gene41699	1	0	0	7	0	6	6	1	2
PH02Gene41700	20	21	10	1	8	30	13	0	19
PH02Gene41701	8	3	10	4	5	1	12	9	4
PH02Gene41702	7	2	10	6	9	23	15	10	7
PH02Gene41703	0	12	1	0	4	2	0	1	2
PH02Gene41704	0	6	1	0	2	0	0	0	1
PH02Gene41705	63	89	126	76	84	63	61	103	21
PH02Gene41706	12	1	4	0	2	0	10	14	1
PH02Gene41707	13	16	13	8	12	5	6	18	14
PH02Gene41708	8	0	19	9	8	4	1	8	6
PH02Gene41709	8	2	25	9	2	2	3	17	2
PH02Gene41710	0	4	8	8	20	18	15	27	2
PH02Gene41711	5	0	13	2	6	2	3	3	4
PH02Gene41712	2	2	0	4	0	0	0	3	0
PH02Gene41713	4	2	3	4	8	3	6	20	6
PH02Gene41714	0	0	0	0	0	0	0	0	0
PH02Gene41715	1	0	0	0	1	0	0	1	0
PH02Gene41716	0	0	0	0	0	0	1	0	0
PH02Gene41717	10	0	0	0	3	0	0	6	0
PH02Gene41718	9	0	6	4	2	0	0	4	0
PH02Gene41720	1	0	10	0	0	0	0	0	0
PH02Gene41721	0	0	0	0	0	0	0	0	0
PH02Gene41722	0	0	0	0	0	0	0	1	0
PH02Gene41723	7	4	6	6	13	4	10	4	4
PH02Gene41724	5	1	16	12	6	0	11	11	6
PH02Gene41725	0	1	0	0	12	0	0	2	0
PH02Gene41726	8	76	8	3	21	52	0	10	45
PH02Gene41727	8	0	8	8	6	0	0	6	0
PH02Gene41728	1	0	13	1	3	4	4	0	0
PH02Gene41729	28	2	4	2	4	2	10	14	4
PH02Gene41730	9	34	16	0	10	22	10	16	14
PH02Gene41731	3	0	9	6	0	2	3	0	0
PH02Gene41732	0	0	0	0	0	0	4	0	0
PH02Gene41733	0	0	0	0	1	0	0	0	0
PH02Gene41734	0	0	1	1	0	0	0	1	0
PH02Gene41735	20	2	4	13	7	5	8	0	0
PH02Gene41736	1	0	3	0	1	0	2	3	0
PH02Gene41737	1	11	15	22	27	21	18	18	2
PH02Gene41738	4	4	4	2	13	0	0	0	10
PH02Gene41739	1	0	0	2	12	2	5	4	0
PH02Gene41740	0	0	6	14	27	2	12	11	7
PH02Gene41741	4	5	4	9	4	16	7	5	0
PH02Gene41742	3	0	14	9	6	8	22	12	0
PH02Gene41743	4	0	0	0	1	0	0	0	0
PH02Gene41744	12	3	20	13	20	3	8	21	10
PH02Gene41745	0	0	12	8	2	1	5	0	2
PH02Gene41746	0	0	8	19	5	6	4	6	0
PH02Gene41747	3	4	15	6	15	4	5	18	0
PH02Gene41748	8	0	9	7	6	5	25	6	0
PH02Gene41749	69	164	63	31	44	66	73	68	60
PH02Gene41750	11	6	24	17	26	9	36	29	0
PH02Gene41751	0	0	0	0	0	1	1	0	0
PH02Gene41752	0	0	0	0	0	0	0	0	0
PH02Gene41753	0	0	0	2	0	0	2	0	0
PH02Gene41754	0	0	0	0	0	0	0	0	0
PH02Gene41755	2	6	10	14	22	8	4	3	8
PH02Gene41756	1	0	1	6	5	0	0	1	0
PH02Gene41757	2	0	2	4	2	0	6	2	0
PH02Gene41758	3	4	6	2	3	0	3	4	0
PH02Gene41759	12	0	12	15	2	1	7	3	1
PH02Gene41760	0	0	8	1	0	4	0	4	0
PH02Gene41761	0	2	9	0	0	0	2	1	0
PH02Gene41762	14	9	25	21	19	8	19	15	8
PH02Gene41763	10	0	10	2	4	0	4	0	0
PH02Gene41764	0	2	16	0	8	0	8	13	0
PH02Gene41765	0	0	2	0	0	0	0	0	0
PH02Gene41766	0	0	0	0	0	0	0	0	0
PH02Gene41767	0	0	0	0	0	0	0	0	0
PH02Gene41768	11	54	20	11	28	51	4	41	15
PH02Gene41769	21	192	71	12	56	85	45	30	74
PH02Gene41770	2	0	6	3	3	0	1	0	2
PH02Gene41771	0	0	0	2	0	0	2	0	0
PH02Gene41772	2	0	17	9	7	7	9	4	0
PH02Gene41773	17	71	34	38	20	43	10	16	20
PH02Gene41774	0	0	0	0	0	0	0	0	0
PH02Gene41776	0	0	7	4	1	0	4	6	0
PH02Gene41777	2	4	12	3	1	7	1	5	0
PH02Gene41778	0	2	2	7	2	5	10	6	0
PH02Gene41779	4	0	5	8	0	2	1	0	0
PH02Gene41780	2	0	1	0	0	0	0	1	0
PH02Gene41781	17	13	42	24	25	17	28	36	1
PH02Gene41782	24	0	16	7	24	2	16	12	4
PH02Gene41783	8	0	6	4	4	12	14	20	8
PH02Gene41784	6	0	4	11	0	1	2	5	0
PH02Gene41785	11	10	10	22	8	6	14	2	3
PH02Gene41786	10	30	19	5	7	3	2	8	18
PH02Gene41787	287	213	12	186	13	67	225	5	69
PH02Gene41788	3	0	14	3	3	3	2	8	0
PH02Gene41789	25	11	26	9	18	23	8	16	10
PH02Gene41790	7	1	21	12	8	5	6	12	0
PH02Gene41791	0	0	0	1	1	0	0	2	0
PH02Gene41792	4	5	4	2	4	0	0	1	0
PH02Gene41794	0	0	0	0	0	0	0	0	0
PH02Gene41795	10	0	0	10	8	2	1	4	2
PH02Gene41796	2	1	2	4	1	4	0	6	1
PH02Gene41797	0	0	0	4	0	0	0	0	0
PH02Gene41798	22	4	14	19	34	10	15	20	2
PH02Gene41799	0	4	6	9	5	1	4	12	0
PH02Gene41800	4	1	6	4	0	0	2	6	0
PH02Gene41801	0	0	0	0	0	0	0	0	0
PH02Gene41802	4	2	4	0	4	2	8	7	4
PH02Gene41803	14	2	19	19	10	8	4	22	12
PH02Gene41804	18	0	21	29	26	11	9	33	4
PH02Gene41805	33	73	38	24	79	31	26	66	43
PH02Gene41806	166	267	111	113	176	356	86	141	215
PH02Gene41807	11	4	6	2	11	4	11	6	0
PH02Gene41808	31	16	28	13	45	36	16	23	31
PH02Gene41809	0	26	5	9	6	16	6	15	1
PH02Gene41810	1	2	5	13	2	0	11	3	0
PH02Gene41811	16	43	57	20	41	31	18	64	19
PH02Gene41812	3	4	19	1	19	4	4	12	0
PH02Gene41813	0	0	8	5	5	0	5	1	0
PH02Gene41814	5	4	8	8	4	4	2	2	0
PH02Gene41815	6	1	4	4	4	4	3	2	0
PH02Gene41816	17	13	46	3	35	2	6	27	5
PH02Gene41817	4	4	11	8	5	4	3	11	8
PH02Gene41818	67	7	8	40	19	5	29	11	9
PH02Gene41819	9	4	23	11	20	5	20	12	6
PH02Gene41820	14	9	4	2	8	11	4	8	6
PH02Gene41821	31	55	60	36	17	36	29	14	44
PH02Gene41822	22	2	18	14	16	14	14	27	7
PH02Gene41823	19	19	22	49	42	21	22	37	13
PH02Gene41824	1	0	0	6	6	0	2	0	0
PH02Gene41825	4	0	9	11	12	0	6	4	0
PH02Gene41826	3	4	18	3	2	5	3	7	0
PH02Gene41827	5	2	32	14	31	3	39	19	6
PH02Gene41828	39	19	28	21	22	14	34	26	19
PH02Gene41829	4	6	8	3	14	2	6	8	0
PH02Gene41830	0	1	16	6	12	0	2	2	1
PH02Gene41831	1	0	24	4	3	10	11	11	1
PH02Gene41832	3	0	8	1	1	2	6	0	4
PH02Gene41833	0	0	4	0	1	0	8	3	0
PH02Gene41834	0	4	6	10	0	0	2	2	0
PH02Gene41835	10	0	3	2	5	0	3	0	0
PH02Gene41836	4	0	3	0	1	0	4	2	0
PH02Gene41837	0	0	2	2	4	0	6	2	2
PH02Gene41838	0	1	0	0	0	0	0	1	0
PH02Gene41839	0	1	0	4	0	0	8	4	0
PH02Gene41840	1	0	1	0	1	2	4	2	0
PH02Gene41841	0	0	0	0	0	0	0	0	0
PH02Gene41842	10	10	0	0	2	4	2	4	0
PH02Gene41843	0	0	0	1	0	0	0	0	0
PH02Gene41844	121	118	197	80	170	118	75	137	98
PH02Gene41845	0	4	11	4	4	0	0	4	0
PH02Gene41846	17	53	10	10	1	25	5	6	17
PH02Gene41847	0	0	1	1	1	0	2	5	0
PH02Gene41848	16	1	1	2	0	6	17	2	2
PH02Gene41849	0	2	3	0	4	0	0	2	0
PH02Gene41850	10	0	5	10	10	2	6	12	0
PH02Gene41851	1	0	0	0	0	0	3	0	4
PH02Gene41852	0	0	0	0	0	4	1	0	0
PH02Gene41853	0	0	6	0	0	0	0	0	0
PH02Gene41854	0	0	0	1	0	3	0	0	0
PH02Gene41855	68	0	0	27	0	0	0	0	0
PH02Gene41856	0	0	6	4	3	0	2	0	0
PH02Gene41857	1	32	22	11	8	4	5	5	6
PH02Gene41858	4	19	9	3	14	0	15	6	0
PH02Gene41859	2	0	1	3	0	0	6	0	0
PH02Gene41860	0	0	0	0	0	0	0	0	0
PH02Gene41861	4	0	2	8	4	0	8	9	0
PH02Gene41862	1	0	1	0	4	0	5	0	0
PH02Gene41863	3	0	7	1	2	0	9	2	6
PH02Gene41864	0	0	0	0	0	0	3	0	2
PH02Gene41865	0	2	7	1	0	4	1	11	0
PH02Gene41866	6	6	5	4	22	19	2	10	0
PH02Gene41867	8	12	4	8	10	6	4	12	0
PH02Gene41868	0	0	1	1	0	0	0	0	0
PH02Gene41869	0	0	6	18	5	0	1	4	0
PH02Gene41870	7	0	0	2	1	3	1	5	1
PH02Gene41871	6	0	7	6	4	0	9	9	0
PH02Gene41872	13	37	35	12	19	5	16	11	5
PH02Gene41873	2	0	0	0	0	0	0	0	0
PH02Gene41874	34	117	115	12	75	106	17	93	48
PH02Gene41875	31	24	63	15	52	24	48	35	22
PH02Gene41876	4	4	4	6	6	8	5	3	2
PH02Gene41877	20	3	19	3	11	6	12	8	6
PH02Gene41878	3	0	2	1	6	0	5	0	10
PH02Gene41879	10	15	30	25	20	21	13	13	7
PH02Gene41880	6	0	3	1	14	5	9	1	0
PH02Gene41881	0	0	0	0	0	0	0	0	0
PH02Gene41882	18	15	44	21	32	12	33	48	11
PH02Gene41884	0	0	0	0	0	0	0	2	0
PH02Gene41885	3	10	26	18	24	2	22	9	2
PH02Gene41886	0	4	8	0	8	3	0	4	0
PH02Gene41887	0	6	6	0	1	0	3	3	0
PH02Gene41888	9	3	18	6	23	6	10	20	14
PH02Gene41889	71	199	25	38	40	136	45	43	58
PH02Gene41890	6	4	8	7	4	4	6	6	0
PH02Gene41891	0	0	0	0	0	0	0	0	0
PH02Gene41892	0	0	0	0	0	0	0	0	0
PH02Gene41893	8	9	13	8	26	35	12	19	16
PH02Gene41894	8	1	13	12	24	0	1	11	6
PH02Gene41895	28	9	16	4	15	4	6	6	47
PH02Gene41896	0	0	0	0	0	0	0	0	0
PH02Gene41897	4	11	8	4	4	4	10	11	8
PH02Gene41898	13	15	19	13	21	24	41	50	2
PH02Gene41899	13	0	3	2	4	0	2	4	0
PH02Gene41900	0	0	4	0	4	0	1	0	4
PH02Gene41901	2	0	7	9	6	0	3	10	0
PH02Gene41902	0	0	2	6	11	0	0	0	0
PH02Gene41903	8	0	10	9	20	11	22	11	4
PH02Gene41904	0	2	0	1	0	4	1	5	2
PH02Gene41905	0	1	13	7	5	4	0	3	0
PH02Gene41906	4	0	0	0	0	0	0	2	0
PH02Gene41907	0	0	0	0	1	0	0	1	0
PH02Gene41908	0	0	6	6	1	1	4	0	0
PH02Gene41909	2	0	5	0	8	1	2	3	0
PH02Gene41910	20	17	32	27	13	17	33	10	2
PH02Gene41911	74	11	39	42	22	17	45	30	6
PH02Gene41912	1	1	0	1	10	0	10	0	1
PH02Gene41913	15	19	39	9	34	22	47	18	16
PH02Gene41914	0	0	1	0	0	0	0	0	0
PH02Gene41915	1	0	0	0	0	4	1	0	0
PH02Gene41916	12	0	31	23	8	0	14	12	0
PH02Gene41917	19	9	17	22	9	15	22	14	8
PH02Gene41918	6	4	10	5	10	10	21	1	0
PH02Gene41919	5	3	12	0	33	4	3	24	0
PH02Gene41920	13	0	23	14	1	0	14	6	0
PH02Gene41921	0	0	0	0	0	0	0	0	0
PH02Gene41922	0	0	0	0	0	0	0	0	0
PH02Gene41923	0	0	6	0	0	0	0	0	0
PH02Gene41924	0	0	0	0	0	4	0	0	0
PH02Gene41925	0	0	0	0	0	0	0	0	0
PH02Gene41927	0	0	0	0	0	0	0	0	0
PH02Gene41928	20	8	5	9	1	4	6	6	3
PH02Gene41929	14	4	8	5	4	0	14	11	0
PH02Gene41930	3	0	2	0	10	1	2	16	2
PH02Gene41931	4	0	9	11	13	6	13	0	0
PH02Gene41932	0	0	0	0	0	0	0	0	0
PH02Gene41933	0	0	0	0	0	0	0	0	1
PH02Gene41934	1	1	4	2	18	6	2	2	4
PH02Gene41935	0	0	0	0	0	0	0	2	0
PH02Gene41936	2	0	2	4	0	0	0	8	0
PH02Gene41937	0	0	5	3	3	2	9	2	0
PH02Gene41938	2	1	2	5	13	2	11	1	0
PH02Gene41939	0	0	0	0	0	0	0	0	0
PH02Gene41940	2	10	6	0	0	1	19	9	4
PH02Gene41941	0	0	8	0	0	6	0	4	0
PH02Gene41942	4	0	8	0	1	2	12	14	0
PH02Gene41943	8	0	16	9	9	6	9	6	2
PH02Gene41944	0	0	0	0	0	0	0	0	0
PH02Gene41945	0	0	2	0	0	0	0	0	0
PH02Gene41946	0	3	6	4	0	14	2	10	4
PH02Gene41947	0	0	0	0	0	0	10	0	0
PH02Gene41948	4	0	8	2	10	3	17	4	0
PH02Gene41949	1	0	14	1	19	2	23	20	0
PH02Gene41950	6	0	6	2	4	2	2	6	1
PH02Gene41951	6	0	12	10	0	0	4	14	0
PH02Gene41952	6	0	2	0	3	0	11	5	1
PH02Gene41953	3	1	0	4	6	0	4	1	0
PH02Gene41954	4	0	14	14	11	0	24	12	0
PH02Gene41955	1	0	0	2	1	0	0	0	0
PH02Gene41956	0	0	4	0	0	0	1	0	0
PH02Gene41957	4	0	19	2	6	0	17	1	0
PH02Gene41958	0	0	0	2	4	0	0	2	0
PH02Gene41959	0	0	1	6	0	0	5	2	0
PH02Gene41960	0	0	0	0	0	0	0	0	0
PH02Gene41962	9	0	6	0	0	0	6	3	0
PH02Gene41963	4	1	2	0	2	2	5	0	0
PH02Gene41964	8	0	6	2	4	1	5	5	1
PH02Gene41965	1	0	0	1	0	0	0	0	0
PH02Gene41966	4	0	4	0	14	0	22	1	0
PH02Gene41967	0	0	0	10	0	0	0	3	0
PH02Gene41968	21	0	0	0	6	1	12	0	4
PH02Gene41969	6	6	6	0	2	4	6	2	0
PH02Gene41970	0	0	0	6	1	0	1	0	0
PH02Gene41971	6	5	13	4	11	3	11	2	9
PH02Gene41972	1	0	3	3	3	6	5	6	0
PH02Gene41973	4	0	5	7	4	4	3	1	0
PH02Gene41974	0	0	1	6	0	0	4	6	0
PH02Gene41975	2	1	11	12	14	0	25	20	0
PH02Gene41976	0	0	0	0	0	0	0	0	0
PH02Gene41977	0	0	0	0	0	0	0	1	0
PH02Gene41978	13	6	0	0	6	0	2	3	8
PH02Gene41979	0	0	5	2	1	0	1	14	0
PH02Gene41980	0	0	2	0	1	2	0	11	0
PH02Gene41981	6	4	6	2	8	2	4	2	0
PH02Gene41982	0	0	0	5	7	0	13	5	0
PH02Gene41983	134	26	107	94	88	24	102	111	46
PH02Gene41984	86	0	10	14	11	0	38	0	0
PH02Gene41985	8	0	27	2	13	2	14	4	4
PH02Gene41986	14	0	19	14	14	4	17	9	2
PH02Gene41987	0	0	0	0	0	0	0	0	1
PH02Gene41988	0	0	0	0	0	0	0	0	0
PH02Gene41989	0	0	0	0	0	0	0	0	0
PH02Gene41990	21	8	37	27	14	12	20	18	8
PH02Gene41991	0	10	1	0	0	4	2	1	0
PH02Gene41992	3	3	8	18	16	14	6	19	4
PH02Gene41993	13	6	13	23	29	24	34	29	6
PH02Gene41994	0	0	0	0	0	0	0	0	0
PH02Gene41995	9	0	16	10	6	1	7	19	2
PH02Gene41996	10	24	16	4	18	26	6	15	22
PH02Gene41997	0	0	0	2	0	0	7	0	0
PH02Gene41998	0	0	0	1	0	0	1	0	0
PH02Gene41999	0	0	1	0	0	0	0	0	0
PH02Gene42000	6	12	10	0	19	8	2	8	1
PH02Gene42001	0	0	0	4	0	0	5	0	0
PH02Gene42002	8	0	18	0	10	5	12	7	0
PH02Gene42003	0	0	1	0	0	0	1	4	0
PH02Gene42004	6	3	3	24	24	14	10	5	0
PH02Gene42005	0	0	4	6	2	0	5	1	0
PH02Gene42007	1	0	0	10	0	0	0	1	0
PH02Gene42008	0	0	11	0	5	0	0	0	0
PH02Gene42009	0	0	0	6	1	1	0	1	0
PH02Gene42010	8	0	5	1	0	0	7	2	0
PH02Gene42011	6	25	17	7	1	8	0	9	4
PH02Gene42012	1	0	18	0	2	3	5	2	0
PH02Gene42013	0	0	0	0	0	0	0	0	0
PH02Gene42014	20	0	0	8	6	0	4	0	0
PH02Gene42015	237	120	38	118	54	41	205	57	97
PH02Gene42016	12	23	40	16	48	85	19	40	44
PH02Gene42017	2	0	12	8	6	1	9	5	0
PH02Gene42018	0	0	1	4	4	0	6	0	0
PH02Gene42019	4	0	11	8	6	1	14	4	0
PH02Gene42020	5	0	3	4	0	0	0	0	0
PH02Gene42021	11	1	17	13	7	0	6	0	0
PH02Gene42022	2	0	0	0	0	0	0	0	0
PH02Gene42023	0	0	2	6	1	0	7	2	0
PH02Gene42024	11	32	4	23	16	10	17	8	21
PH02Gene42025	8	4	6	2	19	4	0	2	0
PH02Gene42026	45	0	12	39	0	1	35	0	0
PH02Gene42027	8	2	22	32	24	2	18	42	1
PH02Gene42028	2	0	5	4	10	2	1	2	0
PH02Gene42029	0	0	1	1	0	0	0	0	0
PH02Gene42030	0	0	0	0	0	0	1	4	0
PH02Gene42031	8	26	6	5	17	10	16	11	5
PH02Gene42032	10	2	1	23	1	2	17	8	0
PH02Gene42033	6	0	6	0	0	5	0	14	0
PH02Gene42034	14	7	13	5	12	6	28	6	2
PH02Gene42035	0	0	0	0	0	0	0	0	0
PH02Gene42036	0	0	0	0	0	0	0	0	0
PH02Gene42037	8	4	34	22	13	8	14	32	0
PH02Gene42038	0	0	0	0	0	2	0	0	0
PH02Gene42039	0	0	6	0	0	0	8	10	0
PH02Gene42040	12	31	55	21	18	24	26	28	20
PH02Gene42041	4	2	2	16	14	7	3	4	0
PH02Gene42042	0	0	0	0	0	0	0	0	0
PH02Gene42043	6	0	12	11	10	1	12	8	2
PH02Gene42044	2	4	9	4	22	18	16	4	4
PH02Gene42045	0	0	0	0	0	0	0	0	0
PH02Gene42048	12	0	10	12	10	4	10	4	6
PH02Gene42049	14	1	6	8	14	10	7	10	0
PH02Gene42050	0	0	4	11	7	0	1	1	0
PH02Gene42051	7	0	6	10	7	1	6	7	0
PH02Gene42052	1	0	34	4	8	3	19	8	0
PH02Gene42053	1	0	1	0	6	0	5	6	0
PH02Gene42054	0	0	6	6	11	2	12	10	0
PH02Gene42055	40	12	37	16	19	3	23	13	15
PH02Gene42056	14	19	36	26	12	7	21	21	4
PH02Gene42057	14	12	28	19	40	14	20	37	7
PH02Gene42058	14	11	49	24	21	25	44	31	0
PH02Gene42059	9	0	10	0	7	1	1	3	0
PH02Gene42060	59	30	54	46	33	16	35	25	3
PH02Gene42061	0	0	6	6	12	2	11	12	2
PH02Gene42062	0	0	1	5	6	0	0	14	0
PH02Gene42063	16	14	19	19	9	17	11	2	4
PH02Gene42064	2	4	25	11	28	8	14	5	4
PH02Gene42065	0	0	0	0	0	0	1	0	0
PH02Gene42066	1	0	8	0	1	0	0	2	0
PH02Gene42067	8	0	8	6	5	4	8	14	0
PH02Gene42068	0	0	2	1	0	2	1	0	0
PH02Gene42069	5	4	17	21	32	11	9	24	10
PH02Gene42070	1	0	0	11	2	9	0	0	0
PH02Gene42071	6	1	1	5	8	0	3	1	0
PH02Gene42072	1	0	17	11	8	4	5	16	1
PH02Gene42073	1	0	7	8	6	0	2	9	0
PH02Gene42074	11	2	4	4	13	0	6	5	0
PH02Gene42075	0	0	0	1	0	1	0	0	4
PH02Gene42076	7	5	2	20	16	6	5	19	8
PH02Gene42077	0	0	0	3	0	0	0	0	0
PH02Gene42078	3	2	8	8	20	8	12	6	0
PH02Gene42079	14	0	1	1	2	1	8	0	0
PH02Gene42080	4	6	8	10	0	0	3	13	1
PH02Gene42081	26	0	12	24	16	6	12	2	0
PH02Gene42082	6	0	12	3	2	1	0	0	0
PH02Gene42083	18	2	28	7	13	14	16	22	5
PH02Gene42084	6	61	21	13	27	63	16	16	29
PH02Gene42085	0	0	3	2	3	0	4	2	0
PH02Gene42086	0	0	1	0	2	0	1	0	0
PH02Gene42087	2	1	6	5	5	0	13	5	0
PH02Gene42088	4	0	1	0	6	0	1	1	0
PH02Gene42089	5	1	4	0	0	0	1	0	0
PH02Gene42090	2	4	28	3	7	2	5	6	2
PH02Gene42091	10	2	13	1	1	10	3	4	0
PH02Gene42092	6	8	46	4	18	4	6	18	4
PH02Gene42093	5	0	16	2	8	1	15	3	0
PH02Gene42094	9	10	6	14	21	6	16	22	0
PH02Gene42095	8	0	42	11	15	3	15	28	1
PH02Gene42096	13	5	47	20	28	11	17	21	9
PH02Gene42097	1	0	37	17	52	30	23	38	10
PH02Gene42098	10	4	1	1	3	0	1	6	0
PH02Gene42099	12	7	1	11	1	8	10	7	0
PH02Gene42100	75	40	5	26	4	19	59	0	8
PH02Gene42101	0	0	5	3	2	1	5	4	0
PH02Gene42102	3	4	8	6	5	0	2	8	0
PH02Gene42104	3	0	3	1	8	4	6	5	0
PH02Gene42105	10	0	18	9	11	4	4	5	0
PH02Gene42106	10	16	44	15	13	54	28	23	3
PH02Gene42107	0	1	3	4	10	0	9	0	0
PH02Gene42108	8	0	1	2	0	1	7	0	0
PH02Gene42109	0	0	0	4	0	0	0	0	0
PH02Gene42110	22	33	78	24	45	14	44	90	63
PH02Gene42111	197	340	18	84	12	71	206	15	99
PH02Gene42112	32	6	16	4	13	23	11	22	9
PH02Gene42113	14	4	10	4	4	0	4	1	1
PH02Gene42114	23	10	34	16	15	13	21	16	4
PH02Gene42115	2	0	0	1	1	0	0	4	0
PH02Gene42116	14	0	6	2	8	2	4	6	6
PH02Gene42117	0	8	6	0	0	0	0	2	6
PH02Gene42118	10	0	0	0	0	4	0	0	0
PH02Gene42119	0	4	6	4	1	1	1	3	0
PH02Gene42120	25	6	35	27	20	9	20	17	1
PH02Gene42121	0	10	22	12	4	7	19	5	6
PH02Gene42122	0	0	0	0	0	0	0	1	0
PH02Gene42123	0	0	6	5	3	0	0	3	0
PH02Gene42124	0	0	0	4	1	1	0	0	0
PH02Gene42125	0	0	9	3	0	4	0	4	0
PH02Gene42126	3	2	2	4	0	14	2	10	3
PH02Gene42127	22	10	21	8	10	85	8	19	2
PH02Gene42128	10	20	26	9	8	9	30	11	1
PH02Gene42129	5	0	2	19	9	4	14	23	0
PH02Gene42130	9	0	12	25	7	0	9	16	0
PH02Gene42131	0	0	0	0	0	0	0	0	0
PH02Gene42132	13	0	25	9	19	10	16	34	1
PH02Gene42133	1	0	6	2	5	1	3	0	0
PH02Gene42135	163	0	9	40	1	8	166	4	0
PH02Gene42136	0	0	0	0	0	0	0	0	0
PH02Gene42137	1	3	9	2	4	1	0	17	1
PH02Gene42138	2	0	0	2	0	0	2	4	0
PH02Gene42139	1	0	9	0	9	0	1	3	2
PH02Gene42140	0	0	0	0	0	3	9	8	0
PH02Gene42141	31	55	20	14	57	4	1	43	33
PH02Gene42142	0	0	2	6	0	0	1	0	6
PH02Gene42143	3	0	6	12	2	10	13	17	0
PH02Gene42144	16	1	35	6	11	3	8	6	1
PH02Gene42145	0	0	7	3	2	4	5	4	0
PH02Gene42146	1	1	18	0	0	2	0	8	0
PH02Gene42147	2	1	3	8	9	0	14	7	0
PH02Gene42148	16	2	7	0	34	1	8	8	4
PH02Gene42149	13	6	7	12	1	0	2	10	0
PH02Gene42150	0	0	0	0	0	0	0	0	0
PH02Gene42151	0	1	4	6	4	0	7	9	3
PH02Gene42152	1	0	14	9	5	0	8	4	1
PH02Gene42153	9	10	4	12	5	0	8	10	12
PH02Gene42154	8	0	0	6	0	0	1	5	0
PH02Gene42155	17	7	30	9	33	10	5	32	14
PH02Gene42156	0	2	29	17	21	8	26	16	4
PH02Gene42157	4	2	18	8	8	6	8	11	2
PH02Gene42158	1	2	0	0	0	0	2	0	0
PH02Gene42159	1	0	5	1	1	6	1	6	0
PH02Gene42160	6	1	17	6	8	0	2	2	1
PH02Gene42161	4	0	4	4	0	0	2	2	2
PH02Gene42162	5	0	3	7	12	4	6	1	0
PH02Gene42163	3	6	0	2	7	0	5	2	1
PH02Gene42164	50	16	39	15	51	1	45	50	7
PH02Gene42165	1	4	4	6	4	4	13	4	0
PH02Gene42166	48	16	24	12	37	29	28	52	14
PH02Gene42167	0	0	7	0	0	0	1	0	2
PH02Gene42168	14	0	9	16	12	0	18	16	0
PH02Gene42169	0	0	0	0	0	0	0	0	0
PH02Gene42170	37	8	32	14	13	16	34	17	18
PH02Gene42171	0	0	1	0	0	0	6	0	0
PH02Gene42172	0	0	0	0	0	0	0	0	0
PH02Gene42173	0	0	0	0	0	0	0	0	0
PH02Gene42174	4	0	7	4	6	1	0	8	0
PH02Gene42175	0	0	0	14	0	0	0	0	1
PH02Gene42176	8	4	16	20	14	3	17	11	8
PH02Gene42178	0	0	0	0	0	0	0	0	0
PH02Gene42179	0	0	2	1	1	1	0	0	0
PH02Gene42180	2	2	14	8	0	5	8	8	3
PH02Gene42181	19	0	7	6	1	1	15	28	0
PH02Gene42182	25	11	72	61	60	7	44	61	10
PH02Gene42183	1	0	4	0	3	0	4	6	0
PH02Gene42184	0	0	1	2	1	0	6	0	0
PH02Gene42185	0	0	0	0	0	0	0	0	0
PH02Gene42186	2	0	5	0	0	4	5	0	0
PH02Gene42187	0	0	3	6	0	6	6	3	0
PH02Gene42188	0	1	6	2	4	2	5	6	0
PH02Gene42189	6	0	0	0	10	4	4	0	0
PH02Gene42190	5	1	1	14	6	0	4	4	0
PH02Gene42191	24	0	14	4	2	5	13	10	0
PH02Gene42192	0	0	24	7	11	14	11	5	5
PH02Gene42193	0	2	2	2	8	0	0	8	0
PH02Gene42194	3	2	8	9	11	4	18	10	4
PH02Gene42195	1	0	2	8	0	0	6	4	0
PH02Gene42196	17	20	52	27	26	46	31	24	12
PH02Gene42197	0	0	0	0	0	0	0	0	0
PH02Gene42198	0	4	14	16	18	10	6	16	2
PH02Gene42199	1	0	6	0	2	0	6	0	0
PH02Gene42200	10	3	12	14	13	0	17	16	2
PH02Gene42201	4	0	6	0	8	4	7	4	2
PH02Gene42203	8	2	6	0	6	1	0	6	2
PH02Gene42204	4	0	3	9	8	8	3	9	1
PH02Gene42205	0	0	0	0	6	0	0	0	0
PH02Gene42206	12	8	18	26	20	5	15	10	4
PH02Gene42207	4	0	0	2	0	0	0	0	0
