Gene	count_L05_mRNA	count_L02_mRNA	count_L11_mRNA	count_L04_mRNA	count_L10_mRNA	count_L03_mRNA	count_L06_mRNA	count_L12_mRNA	count_L01_mRNA
PH02Gene00347	0	1	9	5	9	0	4	7	0
PH02Gene00348	4	0	6	6	6	0	0	12	2
PH02Gene00349	4	0	16	7	6	1	18	0	9
PH02Gene00350	0	2	16	0	0	1	10	2	0
PH02Gene00351	6	4	6	14	10	14	9	11	18
PH02Gene00352	8	5	21	11	13	5	17	8	0
PH02Gene00353	6	4	14	12	8	10	4	4	0
PH02Gene00354	16	0	0	0	5	0	28	0	0
PH02Gene00355	8	2	5	4	3	0	2	8	0
PH02Gene00356	4	0	8	5	5	0	2	3	6
PH02Gene00357	0	2	19	11	14	6	13	9	6
PH02Gene00358	1	0	2	2	0	1	9	3	2
PH02Gene00359	12	1	11	4	14	4	4	10	4
PH02Gene00360	0	0	6	0	0	0	4	0	0
PH02Gene00361	0	0	9	4	12	0	7	4	0
PH02Gene00362	2	7	8	21	5	9	11	26	5
PH02Gene00363	2	0	5	4	5	6	4	0	1
PH02Gene00364	6	3	6	7	14	14	8	0	2
PH02Gene00365	0	0	2	0	2	4	2	0	4
PH02Gene00366	7	1	2	0	15	4	3	14	0
PH02Gene00367	19	13	31	38	31	5	41	28	0
PH02Gene00368	3	0	6	0	5	4	8	5	0
PH02Gene00369	3	0	6	1	1	0	5	7	0
PH02Gene00370	4	0	18	0	8	4	4	12	1
PH02Gene00371	0	0	0	10	0	0	0	4	0
PH02Gene00372	2	2	29	8	6	12	4	6	4
PH02Gene00373	0	5	6	5	6	4	0	4	2
PH02Gene00374	0	0	0	0	1	6	8	21	0
PH02Gene00375	191	129	226	72	149	94	123	178	40
PH02Gene00376	2	11	0	4	4	47	4	2	8
PH02Gene00377	2	12	1	1	0	17	1	0	2
PH02Gene00378	3	0	6	2	3	14	4	4	2
PH02Gene00379	2	8	9	4	6	4	8	6	2
PH02Gene00380	0	0	4	2	0	0	4	1	0
PH02Gene00381	0	1	7	1	2	0	5	2	0
PH02Gene00382	28	61	100	39	65	34	109	42	50
PH02Gene00383	6	4	22	6	15	0	12	16	1
PH02Gene00384	10	1	19	11	14	3	16	1	10
PH02Gene00385	2	3	6	1	2	2	2	13	2
PH02Gene00386	0	0	0	1	9	0	0	0	0
PH02Gene00387	10	34	7	3	20	5	9	8	3
PH02Gene00388	9	1	12	2	2	2	8	9	3
PH02Gene00389	4	0	2	2	8	0	4	7	0
PH02Gene00390	6	10	9	5	7	12	3	10	0
PH02Gene00391	0	2	4	4	4	2	12	7	2
PH02Gene00392	436	301	607	298	677	301	442	605	322
PH02Gene00393	102	48	96	80	119	30	79	126	24
PH02Gene00394	13	16	2	5	4	5	42	18	15
PH02Gene00395	2	0	2	1	5	0	8	1	0
